pow,pos,poa,algorand,ouroboros,avalanche,fnp2,con_two,con_many,majority
0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.22,0.04,0.44
0.02,0.0,0.0,0.0,0.0,0.0,0.34,0.14,0.0,0.4
0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.08,0.04,0.5
0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.1,0.1,0.64
0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.2,0.08,0.62
0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.06,0.02,0.42
0.02,0.0,0.0,0.0,0.0,0.0,0.42,0.06,0.06,0.5
0.16,0.0,0.0,0.0,0.0,0.0,0.44,0.16,0.04,0.46
0.0,0.06,0.0,0.0,0.0,0.0,0.42,0.1,0.04,0.54
0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.16,0.06,0.4
0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.16,0.0,0.34
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.04,0.02,0.4
0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.04,0.06,0.48
0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.08,0.06,0.36
0.0,0.02,0.0,0.0,0.0,0.0,0.44,0.18,0.1,0.42
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.16,0.04,0.44
0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.24,0.02,0.52
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.12,0.04,0.48
0.0,0.04,0.0,0.0,0.0,0.0,0.48,0.16,0.04,0.4
0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.2,0.04,0.38
0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.12,0.1,0.56
0.16,0.0,0.0,0.0,0.0,0.0,0.48,0.04,0.02,0.4
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.14,0.02,0.34
0.02,0.0,0.0,0.0,0.0,0.0,0.44,0.06,0.06,0.64
0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.06,0.02,0.38
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.12,0.02,0.52
0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.12,0.0,0.46
0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.12,0.1,0.44
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1,0.1,0.46
0.0,0.08,0.0,0.0,0.0,0.0,0.46,0.14,0.04,0.42
0.0,0.02,0.0,0.0,0.0,0.0,0.5,0.16,0.1,0.36
0.0,0.02,0.0,0.0,0.0,0.0,0.54,0.12,0.0,0.34
0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.12,0.06,0.58
0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.12,0.04,0.58
0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.16,0.04,0.48
0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.16,0.04,0.48
0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.2,0.04,0.4
0.04,0.0,0.0,0.0,0.0,0.0,0.48,0.1,0.02,0.36
0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.12,0.0,0.62
0.0,0.02,0.0,0.0,0.0,0.0,0.4,0.26,0.08,0.38
0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.08,0.06,0.54
0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.06,0.0,0.38
0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.14,0.04,0.56
0.04,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.12,0.54
0.02,0.0,0.0,0.0,0.0,0.0,0.46,0.16,0.02,0.52
0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.18,0.02,0.5
0.0,0.02,0.0,0.0,0.0,0.0,0.36,0.06,0.04,0.44
0.02,0.0,0.0,0.0,0.0,0.0,0.52,0.22,0.08,0.5
0.04,0.0,0.0,0.0,0.0,0.0,0.4,0.16,0.06,0.28
0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.14,0.04,0.56
0.04,0.02,0.0,0.0,0.0,0.0,0.34,0.14,0.04,0.44
0.02,0.0,0.0,0.0,0.0,0.0,0.34,0.12,0.02,0.6
0.02,0.0,0.0,0.0,0.0,0.0,0.34,0.12,0.02,0.44
0.0,0.04,0.0,0.0,0.0,0.0,0.56,0.12,0.02,0.4
0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.18,0.08,0.58
0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.06,0.06,0.46
0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.14,0.08,0.46
0.0,0.12,0.0,0.0,0.0,0.0,0.42,0.14,0.06,0.42
0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.12,0.06,0.34
0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.1,0.02,0.38
0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.16,0.0,0.36
0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.08,0.04,0.3
0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.12,0.04,0.5
0.0,0.02,0.0,0.0,0.0,0.0,0.44,0.12,0.04,0.5
0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.18,0.06,0.4
0.02,0.0,0.0,0.0,0.0,0.0,0.56,0.08,0.04,0.42
0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.22,0.04,0.5
0.0,0.02,0.0,0.0,0.0,0.0,0.44,0.16,0.06,0.38
0.08,0.0,0.0,0.0,0.0,0.0,0.5,0.16,0.04,0.36
0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.2,0.02,0.46
0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.18,0.0,0.36
0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.1,0.04,0.4
0.02,0.02,0.0,0.0,0.0,0.0,0.36,0.08,0.06,0.52
0.02,0.0,0.0,0.0,0.0,0.0,0.58,0.08,0.0,0.4
0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.16,0.02,0.5
0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.12,0.02,0.42
0.02,0.06,0.0,0.0,0.0,0.0,0.48,0.16,0.02,0.5
0.02,0.0,0.0,0.0,0.0,0.0,0.5,0.06,0.02,0.44
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1,0.08,0.44
0.04,0.02,0.0,0.0,0.0,0.0,0.44,0.08,0.08,0.52
0.02,0.0,0.0,0.0,0.0,0.0,0.44,0.08,0.0,0.46
0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.1,0.0,0.42
0.02,0.0,0.0,0.0,0.0,0.0,0.4,0.06,0.02,0.44
0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.06,0.0,0.38
0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.08,0.06,0.42
0.0,0.04,0.0,0.0,0.0,0.0,0.64,0.18,0.12,0.4
0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.2,0.08,0.32
0.0,0.04,0.0,0.0,0.0,0.0,0.48,0.22,0.16,0.44
0.02,0.0,0.0,0.0,0.0,0.0,0.38,0.08,0.04,0.42
0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.16,0.04,0.56
