pow,pos,poa,algorand,ouroboros,avalanche,fnp2,con_two,con_many,majority
0.0,0.02,0.0,0.0,0.0,0.0,0.44,0.76,0.82,0.44
0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.74,0.8,0.36
0.12,0.06,0.0,0.0,0.0,0.0,0.48,0.72,0.8,0.44
0.04,0.04,0.0,0.0,0.0,0.0,0.44,0.7,0.76,0.5
0.0,0.02,0.0,0.0,0.0,0.0,0.6,0.7,0.74,0.52
0.0,0.04,0.0,0.0,0.0,0.0,0.58,0.72,0.84,0.54
0.02,0.02,0.0,0.0,0.0,0.0,0.52,0.8,0.78,0.52
0.0,0.48,0.02,0.0,0.0,0.0,0.5,0.7,0.74,0.46
0.02,0.04,0.0,0.0,0.0,0.0,0.6,0.76,0.76,0.5
0.0,0.16,0.0,0.0,0.0,0.0,0.46,0.7,0.8,0.46
0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.82,0.8,0.4
0.06,0.02,0.0,0.0,0.0,0.0,0.5,0.82,0.8,0.46
0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.66,0.78,0.5
0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.74,0.8,0.46
0.04,0.0,0.0,0.0,0.0,0.0,0.36,0.68,0.78,0.6
0.04,0.0,0.0,0.0,0.0,0.0,0.52,0.64,0.8,0.44
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.8,0.72,0.44
0.04,0.0,0.0,0.0,0.0,0.0,0.42,0.7,0.74,0.48
0.02,0.0,0.0,0.0,0.0,0.0,0.44,0.66,0.8,0.42
0.02,0.02,0.0,0.0,0.0,0.0,0.58,0.68,0.76,0.34
0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.7,0.86,0.44
0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.8,0.86,0.46
0.0,0.08,0.0,0.0,0.0,0.0,0.68,0.76,0.74,0.46
0.1,0.02,0.0,0.0,0.0,0.0,0.44,0.54,0.8,0.5
0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.76,0.78,0.52
0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.7,0.84,0.42
0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.7,0.82,0.54
0.02,0.0,0.0,0.0,0.0,0.0,0.5,0.76,0.82,0.46
0.04,0.02,0.0,0.0,0.0,0.0,0.52,0.6,0.78,0.5
0.0,0.02,0.0,0.0,0.0,0.0,0.64,0.72,0.84,0.38
0.0,0.02,0.0,0.0,0.0,0.0,0.32,0.6,0.88,0.46
0.0,0.12,0.0,0.0,0.0,0.0,0.34,0.68,0.76,0.42
0.14,0.0,0.0,0.0,0.0,0.0,0.5,0.6,0.82,0.5
0.56,0.0,0.0,0.0,0.0,0.0,0.44,0.76,0.76,0.46
0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.72,0.82,0.48
0.02,0.28,0.0,0.0,0.0,0.0,0.54,0.66,0.76,0.48
0.0,0.18,0.0,0.0,0.0,0.0,0.46,0.7,0.84,0.54
0.02,0.06,0.0,0.0,0.0,0.0,0.5,0.8,0.76,0.56
0.1,0.0,0.0,0.0,0.0,0.0,0.46,0.74,0.66,0.46
0.0,0.04,0.0,0.0,0.0,0.0,0.42,0.56,0.84,0.48
0.02,0.0,0.0,0.0,0.0,0.0,0.54,0.68,0.86,0.42
0.02,0.02,0.0,0.0,0.0,0.0,0.44,0.68,0.76,0.4
0.0,0.08,0.0,0.0,0.0,0.0,0.48,0.76,0.7,0.64
0.04,0.04,0.0,0.0,0.0,0.0,0.56,0.68,0.82,0.6
0.0,0.04,0.0,0.0,0.0,0.0,0.44,0.72,0.66,0.46
0.04,0.0,0.0,0.0,0.0,0.0,0.52,0.8,0.84,0.46
0.08,0.0,0.0,0.0,0.0,0.0,0.62,0.66,0.72,0.54
0.3,0.0,0.0,0.0,0.0,0.0,0.6,0.88,0.7,0.54
0.02,0.0,0.0,0.0,0.0,0.0,0.44,0.78,0.78,0.46
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.82,0.78,0.58
0.0,0.04,0.0,0.0,0.0,0.0,0.58,0.72,0.88,0.52
0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.76,0.86,0.44
0.12,0.0,0.0,0.0,0.0,0.0,0.54,0.64,0.68,0.48
0.04,0.12,0.0,0.0,0.0,0.0,0.58,0.66,0.82,0.58
0.16,0.0,0.0,0.0,0.0,0.0,0.42,0.76,0.78,0.66
0.02,0.0,0.0,0.0,0.0,0.0,0.46,0.66,0.74,0.38
0.2,0.94,0.58,0.38,0.58,0.02,0.46,0.68,0.78,0.46
0.52,0.02,0.0,0.0,0.0,0.0,0.54,0.7,0.84,0.48
0.04,0.0,0.0,0.0,0.0,0.0,0.54,0.72,0.78,0.46
0.02,0.0,0.0,0.0,0.0,0.0,0.58,0.72,0.7,0.44
0.02,0.04,0.0,0.0,0.0,0.0,0.48,0.66,0.68,0.6
0.0,0.02,0.0,0.0,0.0,0.0,0.54,0.68,0.76,0.5
0.0,0.06,0.0,0.0,0.0,0.0,0.5,0.7,0.84,0.54
0.24,0.0,0.0,0.0,0.0,0.0,0.5,0.74,0.8,0.44
0.02,0.02,0.0,0.0,0.0,0.0,0.62,0.68,0.76,0.44
0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.64,0.86,0.42
0.04,0.02,0.0,0.0,0.0,0.0,0.58,0.6,0.78,0.48
0.0,0.02,0.0,0.0,0.0,0.0,0.48,0.66,0.84,0.4
0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.78,0.82,0.6
0.04,0.0,0.0,0.0,0.0,0.0,0.52,0.74,0.86,0.66
0.02,0.02,0.0,0.0,0.0,0.0,0.52,0.68,0.72,0.42
0.0,0.02,0.0,0.0,0.0,0.0,0.54,0.64,0.76,0.46
0.0,0.02,0.0,0.0,0.0,0.0,0.56,0.62,0.8,0.5
0.62,0.02,0.0,0.0,0.0,0.0,0.46,0.68,0.82,0.46
0.0,0.12,0.0,0.0,0.0,0.0,0.44,0.72,0.86,0.54
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.62,0.8,0.42
0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.74,0.76,0.48
0.1,0.04,0.0,0.0,0.0,0.0,0.32,0.8,0.82,0.46
0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.66,0.7,0.42
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.72,0.82,0.5
0.0,0.12,0.0,0.0,0.0,0.0,0.6,0.64,0.84,0.52
0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.76,0.74,0.6
0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.82,0.8,0.48
0.0,0.04,0.0,0.0,0.0,0.0,0.54,0.8,0.76,0.48
0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.8,0.76,0.58
0.18,0.0,0.0,0.0,0.0,0.0,0.6,0.68,0.82,0.64
0.02,0.02,0.0,0.0,0.0,0.0,0.56,0.66,0.82,0.58
0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.68,0.78,0.54
0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.62,0.8,0.42
0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.7,0.88,0.48
0.02,0.0,0.0,0.0,0.0,0.0,0.44,0.76,0.72,0.58
0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.78,0.82,0.48
0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.5,0.8,0.48
0.02,0.02,0.0,0.0,0.0,0.0,0.58,0.78,0.82,0.44
