pow,pos,poa,algorand,ouroboros,avalanche,fnp2,con_two,con_many,majority
0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.72,0.84,0.56
0.0,0.12,0.0,0.0,0.0,0.0,0.58,0.78,0.76,0.56
0.06,0.0,0.0,0.0,0.0,0.0,0.58,0.76,0.72,0.38
0.0,0.08,0.0,0.0,0.0,0.0,0.34,0.78,0.78,0.3
0.0,0.2,0.0,0.0,0.0,0.0,0.52,0.7,0.9,0.48
0.0,0.64,0.2,0.04,0.08,0.0,0.56,0.78,0.82,0.36
0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.78,0.72,0.62
0.1,0.0,0.0,0.0,0.0,0.0,0.52,0.72,0.82,0.48
0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.66,0.74,0.5
0.04,0.64,0.0,0.0,0.02,0.0,0.54,0.72,0.88,0.5
0.22,0.06,0.0,0.0,0.0,0.0,0.6,0.64,0.88,0.46
0.0,0.08,0.0,0.0,0.0,0.0,0.44,0.64,0.86,0.52
0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.66,0.84,0.5
0.0,0.06,0.0,0.0,0.0,0.0,0.48,0.76,0.8,0.56
0.1,0.0,0.0,0.0,0.0,0.0,0.56,0.78,0.86,0.58
0.02,0.06,0.0,0.0,0.0,0.0,0.58,0.72,0.78,0.54
0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.62,0.76,0.52
0.06,0.0,0.0,0.0,0.0,0.0,0.58,0.72,0.84,0.54
0.02,0.02,0.0,0.0,0.0,0.0,0.54,0.7,0.7,0.38
0.0,0.02,0.0,0.0,0.0,0.0,0.52,0.62,0.74,0.48
0.0,0.18,0.0,0.0,0.0,0.0,0.48,0.68,0.74,0.46
0.12,0.0,0.0,0.0,0.0,0.0,0.52,0.76,0.9,0.58
0.06,0.04,0.0,0.0,0.0,0.0,0.48,0.58,0.8,0.5
0.06,0.0,0.0,0.0,0.0,0.0,0.4,0.58,0.78,0.44
0.0,0.04,0.0,0.0,0.0,0.0,0.52,0.64,0.82,0.46
0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.72,0.8,0.52
0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.66,0.7,0.48
0.0,0.02,0.0,0.0,0.0,0.0,0.66,0.72,0.74,0.5
0.16,0.0,0.0,0.0,0.0,0.0,0.58,0.72,0.9,0.5
0.02,0.08,0.0,0.0,0.0,0.0,0.44,0.78,0.86,0.5
