pow,pos,poa,algorand,ouroboros,avalanche,fnp2,con_two,con_many,majority
0.82,0.96,0.72,0.54,0.66,0.0,0.5,1.0,1.0,0.5
0.2,0.26,0.0,0.0,0.0,0.0,0.52,0.94,1.0,0.46
0.44,0.4,0.0,0.0,0.0,0.0,0.42,0.96,1.0,0.54
0.18,0.1,0.0,0.0,0.0,0.0,0.36,0.98,1.0,0.32
0.3,0.14,0.0,0.0,0.0,0.0,0.42,1.0,1.0,0.52
0.68,0.16,0.0,0.0,0.0,0.0,0.54,0.98,1.0,0.54
0.24,0.24,0.0,0.0,0.0,0.0,0.44,0.96,1.0,0.52
0.16,0.22,0.0,0.0,0.0,0.0,0.62,0.98,1.0,0.6
0.02,0.06,0.0,0.0,0.0,0.0,0.48,0.96,1.0,0.5
0.62,0.28,0.0,0.0,0.0,0.0,0.64,1.0,1.0,0.48
0.06,0.76,0.24,0.02,0.12,0.0,0.52,0.98,1.0,0.46
0.4,0.48,0.02,0.0,0.02,0.0,0.5,0.98,1.0,0.56
0.2,0.14,0.0,0.0,0.0,0.0,0.52,0.94,1.0,0.42
0.02,0.2,0.0,0.0,0.0,0.0,0.54,0.96,1.0,0.38
0.08,0.0,0.0,0.0,0.0,0.0,0.58,0.98,1.0,0.4
0.18,0.02,0.0,0.0,0.0,0.0,0.44,0.98,1.0,0.32
0.08,0.12,0.0,0.0,0.0,0.0,0.64,0.96,1.0,0.68
0.02,0.06,0.0,0.0,0.0,0.0,0.42,1.0,1.0,0.54
0.3,0.5,0.0,0.0,0.0,0.0,0.48,0.98,1.0,0.38
0.82,0.0,0.0,0.0,0.0,0.0,0.48,1.0,1.0,0.54
0.5,0.82,0.42,0.18,0.2,0.0,0.42,0.98,1.0,0.58
0.76,0.12,0.0,0.0,0.0,0.0,0.5,0.98,1.0,0.54
0.0,0.6,0.1,0.0,0.04,0.0,0.46,0.94,1.0,0.5
0.16,0.32,0.0,0.0,0.0,0.0,0.54,1.0,1.0,0.56
0.0,0.16,0.0,0.0,0.0,0.0,0.4,1.0,1.0,0.52
0.0,0.78,0.28,0.04,0.1,0.0,0.54,1.0,1.0,0.32
0.08,0.94,0.74,0.46,0.56,0.0,0.54,0.96,1.0,0.5
0.12,0.3,0.0,0.0,0.0,0.0,0.44,1.0,1.0,0.5
0.08,0.88,0.7,0.3,0.52,0.0,0.54,1.0,1.0,0.46
0.02,0.4,0.02,0.0,0.0,0.0,0.46,0.98,1.0,0.56
0.76,0.32,0.0,0.0,0.0,0.0,0.52,0.98,1.0,0.56
0.6,0.18,0.0,0.0,0.0,0.0,0.44,0.98,1.0,0.42
0.32,0.94,0.66,0.4,0.62,0.02,0.62,1.0,1.0,0.5
0.44,0.9,0.68,0.54,0.72,0.0,0.52,0.94,1.0,0.54
0.42,0.22,0.0,0.0,0.0,0.0,0.52,0.98,1.0,0.36
0.0,0.04,0.0,0.0,0.0,0.0,0.5,0.98,1.0,0.5
1.0,0.02,0.0,0.0,0.0,0.0,0.52,1.0,1.0,0.48
0.62,0.7,0.12,0.0,0.0,0.0,0.62,0.98,1.0,0.54
0.0,0.1,0.0,0.0,0.0,0.0,0.42,0.98,1.0,0.52
0.4,0.14,0.0,0.0,0.0,0.0,0.52,0.96,1.0,0.38
0.0,0.02,0.0,0.0,0.0,0.0,0.28,0.94,1.0,0.56
0.36,0.04,0.0,0.0,0.0,0.0,0.4,1.0,1.0,0.44
0.6,0.68,0.22,0.1,0.1,0.0,0.52,0.96,0.98,0.54
0.9,0.64,0.08,0.0,0.04,0.0,0.6,0.98,1.0,0.58
0.7,0.42,0.0,0.0,0.0,0.0,0.52,1.0,0.98,0.46
0.66,0.06,0.0,0.0,0.0,0.0,0.32,0.98,1.0,0.5
0.04,0.0,0.0,0.0,0.0,0.0,0.6,1.0,0.98,0.4
0.72,0.3,0.0,0.0,0.02,0.0,0.48,0.98,1.0,0.46
0.04,0.88,0.62,0.46,0.58,0.0,0.5,1.0,1.0,0.5
0.22,0.44,0.0,0.0,0.0,0.0,0.6,0.94,1.0,0.56
0.08,0.48,0.08,0.0,0.0,0.0,0.48,0.96,1.0,0.54
0.28,0.0,0.0,0.0,0.0,0.0,0.48,0.96,1.0,0.52
0.62,0.22,0.0,0.0,0.0,0.0,0.58,1.0,1.0,0.44
0.08,0.04,0.0,0.0,0.0,0.0,0.52,0.98,1.0,0.5
0.3,0.0,0.0,0.0,0.0,0.0,0.52,0.96,1.0,0.5
0.14,1.0,0.9,0.88,0.94,0.12,0.32,0.98,1.0,0.54
0.16,0.06,0.0,0.0,0.0,0.0,0.38,0.98,1.0,0.44
0.36,0.04,0.0,0.0,0.0,0.0,0.44,0.96,1.0,0.58
0.46,0.24,0.0,0.0,0.0,0.0,0.54,0.96,0.98,0.42
0.76,0.18,0.0,0.0,0.0,0.0,0.54,1.0,1.0,0.5
0.12,0.42,0.0,0.0,0.0,0.0,0.5,0.98,1.0,0.34
0.02,0.12,0.0,0.0,0.0,0.0,0.4,0.98,1.0,0.5
0.84,0.22,0.0,0.0,0.0,0.0,0.48,0.96,1.0,0.56
0.08,0.16,0.0,0.0,0.0,0.0,0.42,1.0,1.0,0.4
0.98,0.96,0.86,0.74,0.9,0.04,0.54,0.96,1.0,0.72
0.82,0.6,0.0,0.0,0.0,0.0,0.48,0.98,1.0,0.42
0.08,0.98,0.76,0.74,0.72,0.0,0.5,0.96,1.0,0.42
0.48,0.4,0.02,0.0,0.02,0.0,0.62,0.94,1.0,0.48
0.22,0.42,0.0,0.0,0.0,0.0,0.4,1.0,1.0,0.44
0.18,0.42,0.04,0.0,0.02,0.0,0.46,0.98,1.0,0.54
0.58,0.42,0.0,0.0,0.0,0.0,0.54,1.0,1.0,0.6
1.0,0.0,0.0,0.0,0.0,0.0,0.54,0.98,1.0,0.58
0.68,0.0,0.0,0.0,0.0,0.0,0.48,0.98,1.0,0.58
0.46,0.46,0.0,0.0,0.02,0.0,0.54,1.0,1.0,0.56
0.22,0.54,0.04,0.0,0.0,0.0,0.6,0.96,1.0,0.4
0.24,0.96,0.78,0.68,0.9,0.02,0.54,0.96,1.0,0.4
0.02,0.82,0.36,0.06,0.22,0.0,0.42,0.96,1.0,0.5
0.2,0.34,0.0,0.0,0.0,0.0,0.42,0.98,1.0,0.62
0.44,0.34,0.0,0.0,0.02,0.0,0.5,0.98,0.96,0.54
0.06,0.06,0.0,0.0,0.0,0.0,0.54,0.96,1.0,0.52
0.0,0.32,0.0,0.0,0.0,0.0,0.48,1.0,1.0,0.48
0.94,0.16,0.0,0.0,0.0,0.0,0.6,0.98,1.0,0.42
0.92,0.08,0.0,0.0,0.0,0.0,0.52,0.96,1.0,0.52
0.28,0.86,0.44,0.04,0.26,0.0,0.46,0.96,1.0,0.56
0.92,0.72,0.12,0.0,0.06,0.0,0.52,1.0,1.0,0.46
0.08,0.2,0.0,0.0,0.0,0.0,0.58,1.0,1.0,0.56
0.3,0.36,0.02,0.0,0.0,0.0,0.48,1.0,1.0,0.46
0.0,0.94,0.68,0.46,0.74,0.0,0.5,1.0,1.0,0.54
0.32,0.02,0.0,0.0,0.0,0.0,0.36,0.96,1.0,0.56
0.4,0.5,0.12,0.02,0.06,0.0,0.42,1.0,1.0,0.52
0.02,0.18,0.0,0.0,0.0,0.0,0.58,1.0,1.0,0.44
0.64,0.88,0.48,0.3,0.42,0.0,0.56,0.96,1.0,0.4
0.08,0.02,0.0,0.0,0.0,0.0,0.48,0.98,1.0,0.5
0.46,0.08,0.0,0.0,0.0,0.0,0.4,0.98,1.0,0.56
0.26,0.48,0.0,0.0,0.0,0.0,0.54,0.94,1.0,0.5
0.88,0.9,0.56,0.2,0.52,0.0,0.5,0.92,1.0,0.5
0.14,0.28,0.0,0.0,0.02,0.0,0.56,0.96,1.0,0.46
0.06,0.52,0.04,0.02,0.0,0.0,0.44,0.94,1.0,0.48
0.8,0.62,0.2,0.0,0.12,0.0,0.46,1.0,1.0,0.44
0.6,0.04,0.0,0.0,0.0,0.0,0.52,0.98,1.0,0.5
0.2,0.14,0.0,0.0,0.0,0.0,0.48,0.98,1.0,0.5
0.62,0.1,0.0,0.0,0.0,0.0,0.44,0.98,1.0,0.5
0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.98,1.0,0.54
0.78,0.84,0.26,0.04,0.1,0.0,0.58,1.0,1.0,0.64
0.02,0.08,0.0,0.0,0.0,0.0,0.46,0.96,1.0,0.66
0.08,0.46,0.0,0.0,0.02,0.0,0.44,0.98,1.0,0.48
0.02,0.32,0.0,0.0,0.0,0.0,0.48,1.0,1.0,0.42
0.0,0.56,0.0,0.0,0.0,0.0,0.58,0.98,1.0,0.48
0.16,0.08,0.0,0.0,0.0,0.0,0.5,0.98,1.0,0.56
0.5,0.96,0.78,0.44,0.72,0.02,0.54,0.98,1.0,0.58
0.64,0.5,0.14,0.02,0.04,0.0,0.46,0.96,1.0,0.42
0.82,0.82,0.16,0.0,0.12,0.0,0.62,1.0,1.0,0.56
0.12,0.2,0.0,0.0,0.0,0.0,0.62,1.0,1.0,0.54
0.58,0.0,0.0,0.0,0.0,0.0,0.48,0.98,1.0,0.64
0.0,0.22,0.0,0.0,0.0,0.0,0.5,0.98,0.96,0.5
0.06,0.68,0.06,0.0,0.04,0.0,0.5,0.98,1.0,0.48
0.26,0.94,0.58,0.48,0.6,0.0,0.48,1.0,1.0,0.58
0.26,0.06,0.0,0.0,0.0,0.0,0.52,0.98,1.0,0.44
0.28,0.52,0.02,0.0,0.0,0.0,0.42,0.98,1.0,0.6
0.22,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.44
0.54,0.04,0.0,0.0,0.0,0.0,0.44,0.96,1.0,0.4
0.7,0.24,0.0,0.0,0.0,0.0,0.3,1.0,1.0,0.52
0.42,0.54,0.04,0.0,0.04,0.0,0.48,1.0,1.0,0.42
0.2,0.68,0.14,0.02,0.08,0.0,0.52,0.96,1.0,0.56
0.06,0.4,0.0,0.0,0.0,0.0,0.44,0.96,1.0,0.42
0.8,0.08,0.0,0.0,0.0,0.0,0.56,1.0,1.0,0.44
0.54,0.22,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.42
0.04,0.08,0.0,0.0,0.0,0.0,0.38,0.98,1.0,0.58
0.02,0.08,0.0,0.0,0.0,0.0,0.54,0.98,1.0,0.5
0.0,0.02,0.0,0.0,0.0,0.0,0.44,0.94,1.0,0.5
0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.96,1.0,0.36
0.4,0.08,0.0,0.0,0.0,0.0,0.38,1.0,1.0,0.48
0.02,0.38,0.0,0.0,0.0,0.0,0.64,1.0,1.0,0.54
0.04,0.0,0.0,0.0,0.0,0.0,0.44,0.98,1.0,0.52
0.22,0.54,0.04,0.0,0.0,0.0,0.32,1.0,1.0,0.36
0.08,0.44,0.02,0.0,0.0,0.0,0.48,1.0,1.0,0.56
0.56,0.14,0.0,0.0,0.0,0.0,0.58,0.96,1.0,0.46
0.8,0.0,0.0,0.0,0.0,0.0,0.48,1.0,1.0,0.42
0.44,0.12,0.0,0.0,0.0,0.0,0.48,1.0,1.0,0.62
0.3,0.16,0.0,0.0,0.0,0.0,0.44,1.0,1.0,0.52
0.6,0.16,0.0,0.0,0.0,0.0,0.54,0.94,1.0,0.3
0.12,0.2,0.0,0.0,0.0,0.0,0.48,1.0,1.0,0.52
0.42,0.52,0.0,0.0,0.02,0.0,0.5,1.0,1.0,0.46
0.38,0.14,0.0,0.0,0.0,0.0,0.38,1.0,1.0,0.7
0.02,0.26,0.0,0.0,0.0,0.0,0.58,1.0,1.0,0.46
0.76,0.84,0.42,0.12,0.42,0.0,0.52,0.9,1.0,0.48
0.02,0.02,0.0,0.0,0.0,0.0,0.4,1.0,0.98,0.56
0.06,0.08,0.0,0.0,0.0,0.0,0.54,0.94,1.0,0.52
0.16,0.44,0.04,0.0,0.0,0.0,0.56,1.0,1.0,0.42
0.02,0.54,0.0,0.0,0.0,0.0,0.48,1.0,1.0,0.56
0.02,0.28,0.0,0.0,0.0,0.0,0.48,1.0,1.0,0.58
0.04,0.64,0.02,0.02,0.02,0.0,0.54,1.0,1.0,0.56
0.78,0.38,0.02,0.0,0.0,0.0,0.38,1.0,1.0,0.44
0.02,0.98,0.9,0.56,0.86,0.0,0.5,0.98,1.0,0.54
0.9,0.22,0.0,0.0,0.0,0.0,0.5,0.98,1.0,0.46
0.06,0.34,0.0,0.0,0.0,0.0,0.52,1.0,1.0,0.54
